YearMonth,Last Updated,Business Segment,Company,Responsible Person,Risk
2003,06.08.2020,Startup,Youfeed,Drusilla Lafrentz,High
2002,23.04.2020,Corporate,Topdrive,Zsa zsa Kryszkiecicz,Medium
1994,24.07.2020,Startup,Voonix,Eunice Diter,Medium
2006,05.10.2020,Mid size,Abata,Arlee Walley,Low
1989,22.04.2020,Startup,Agivu,Galvin Gibard,Medium
2008,12.04.2020,Corporate,Skyba,Maurie Ladbury,Medium
2008,21.05.2020,Startup,Eayo,Leslie Exeter,Medium
2006,14.08.2020,Startup,Twinte,Rickey Mackley,Low
2006,18.07.2020,Mid size,Bluezoom,Korey Durand,Low
2006,20.09.2020,Corporate,Jayo,Vassili Nowaczyk,Low
1995,27.04.2020,Startup,Blogpad,Dianemarie Rudolf,Low
1987,05.05.2020,Mid size,Quimba,Arnold Husselbee,Medium
2012,24.06.2020,Corporate,Yata,Sergio Endicott,High
1994,15.11.2020,Corporate,Rhycero,Priscella Billitteri,Low
2012,03.06.2020,Mid size,Ozu,Sandor Ousby,Medium
2000,12.03.2020,Mid size,Snaptags,Jecho Borsay,High
1985,28.06.2020,Startup,Thoughtworks,Pierette Mapledorum,High
2007,25.11.2020,Startup,Jazzy,Kaylil Badrick,Medium
2013,09.06.2020,Corporate,Shuffledrive,Florence Fairney,Low
2010,14.09.2020,Startup,Divape,Renata O'Glassane,High
2002,12.07.2020,Mid size,Mita,Enriqueta Hendrik,Low
2012,15.06.2020,Corporate,Browseblab,Justen Candelin,High
2003,28.07.2020,Corporate,Photobug,Virgie Veazey,High
2003,11.06.2020,Mid size,Blogtags,Eugenie Hazelgreave,High
2008,20.05.2020,Corporate,Digitube,Kit Pays,Low
1991,27.09.2020,Startup,Meemm,Paulo Setch,Low
1992,05.10.2020,Startup,Yozio,Waldemar Carthy,Low
2001,03.08.2020,Corporate,Fivechat,Vanya Olivie,High
1994,04.11.2020,Corporate,Yodel,Juan Vaney,Low
2009,16.04.2020,Corporate,Trilith,Heida Duggan,High
2004,23.10.2020,Startup,Flipbug,Burnard Kendred,Medium
2008,22.10.2020,Corporate,Midel,Babbie Ludgate,High
2005,21.03.2020,Mid size,Aibox,Lanae Downton,Medium
2004,25.10.2020,Startup,Centimia,Shir Caile,Low
1993,08.05.2020,Startup,Meedoo,Waldemar Paynes,Medium
2003,19.08.2020,Startup,Reallinks,Edmund Muldoon,Low
1991,11.09.2020,Mid size,Voonte,Bancroft Jopling,High
2005,20.09.2020,Mid size,Abatz,Dugald Binding,High
2006,10.11.2020,Startup,Babbleblab,Andreana Colyer,High
2009,15.04.2020,Startup,Chatterpoint,Bathsheba Diwell,High
2010,06.05.2020,Corporate,Oodoo,Baxter Sokell,Medium
1998,06.06.2020,Corporate,BlogXS,Pooh Phayre,High
1988,06.05.2020,Corporate,Fadeo,Adolphe Cadogan,Medium
2002,16.07.2020,Startup,Oozz,Cherey Breydin,Medium
2005,17.07.2020,Corporate,Mydeo,Aharon Ipsly,Medium
2009,26.08.2020,Startup,Photobug,Marchall McEachern,Low
1992,11.09.2020,Mid size,Buzzdog,Stace Wooler,Low
2011,20.09.2020,Corporate,Talane,Steffane Moughton,Low
2002,13.11.2020,Startup,Dabjam,Paton Lamburn,Low
2004,29.11.2020,Corporate,Kwinu,Engelbert Worden,High
1994,19.05.2020,Startup,DabZ,Melodie Matejovsky,Low
2001,07.05.2020,Corporate,Blognation,Kenyon Totaro,High
1996,25.06.2020,Mid size,Janyx,Garv Beake,High
2002,30.06.2020,Corporate,Twitterbeat,Janis Dommersen,Medium
2000,26.10.2020,Startup,Podcat,Lorenzo Bisco,Low
2003,20.08.2020,Corporate,Quamba,Mal Keitch,Low
2011,25.04.2020,Corporate,Pixonyx,Franky McGibbon,High
2008,31.03.2020,Corporate,Buzzdog,Quintana Ramelot,High
1990,09.05.2020,Startup,Plajo,Valentina Avrasin,Medium
2012,09.06.2020,Mid size,Brightbean,Jacky Redler,Medium
1997,24.10.2020,Mid size,Tagchat,Clarke Bonett,High
1986,23.11.2020,Startup,Feednation,Niki Bartczak,High
2007,08.05.2020,Startup,Dazzlesphere,Raven Ladson,Low
1990,24.06.2020,Startup,Buzzdog,Efren Jancar,Medium
2010,22.05.2020,Corporate,Npath,Aurelia De Carteret,Medium
2009,26.05.2020,Corporate,Chatterpoint,Jakie Arrowsmith,Low
2004,19.11.2020,Startup,Jatri,Ethelda Tschierasche,Low
1991,06.06.2020,Startup,Photolist,Lindon Claessens,High
2002,08.04.2020,Mid size,Demizz,Pearle Nuschke,High
2009,21.10.2020,Mid size,Jaxworks,Horatia Tommasetti,High
1995,11.11.2020,Startup,Skimia,Elicia Bowdrey,High
2003,27.04.2020,Mid size,Photojam,Rodina Ende,Low
2005,09.03.2020,Startup,Chatterpoint,Shell Shury,High
2001,19.10.2020,Corporate,Dabshots,Marlo Ensor,Medium
1997,21.06.2020,Corporate,Digitube,Augusto Angrove,Medium
2006,03.03.2020,Corporate,Jaxspan,Stephanus Rapp,High
1999,04.04.2020,Startup,Tagfeed,Julian Peartree,High
1991,10.06.2020,Corporate,Divape,Shelden Stannah,High
1996,15.10.2020,Mid size,Dabtype,Wendall Ruusa,High
1999,22.03.2020,Corporate,Jayo,Evita Sibson,Medium
2010,20.05.2020,Startup,Zoomdog,Atalanta Lenox,High
1992,25.04.2020,Corporate,Aivee,Christyna Giacobbo,High
1993,06.10.2020,Mid size,Nlounge,Gery Bonny,Medium
2000,20.10.2020,Corporate,Jabbersphere,Hyacinthia Melton,Low
1995,21.06.2020,Corporate,Skyvu,Eunice Strelitz,High
2000,29.11.2020,Mid size,Skinix,Nigel Braidford,Low
2011,26.11.2020,Mid size,Ailane,Alisander Christophe,Medium
2007,18.03.2020,Mid size,Yodo,Ewen Gulleford,High
2002,19.06.2020,Mid size,Quamba,Hobart Mussared,Low
1984,22.07.2020,Startup,Quire,Wendye Liffe,Medium
2007,06.09.2020,Startup,Linklinks,Ted Licas,Low
1994,08.10.2020,Corporate,Livepath,Lennie Fuster,Low
2011,22.09.2020,Corporate,Zoozzy,Kevin Haliburn,Medium
2005,26.10.2020,Startup,Agivu,Wallis Shirlaw,High
1998,02.10.2020,Corporate,Buzzster,Lorain Garms,Low
1992,01.08.2020,Corporate,Kimia,Lorianne Mattholie,Low
1995,08.10.2020,Mid size,Zazio,Klara Yorath,Medium
2010,18.11.2020,Startup,Demivee,Ernst Storrock,Low
1993,30.10.2020,Corporate,Thoughtblab,Simonne Spawforth,Medium
1993,19.03.2020,Startup,Pixope,Ange Ingram,Low
2002,09.08.2020,Mid size,Viva,Tomas Rockall,Medium
2011,05.06.2020,Startup,Katz,Findlay Riches,Low
2009,01.09.2020,Corporate,Gabspot,Koralle Bodell,High
2006,23.04.2020,Mid size,Fivebridge,Antonella Bruno,High
1984,30.10.2020,Startup,Midel,Bruce Drayton,High
2010,21.10.2020,Mid size,Rhyloo,Hughie Griggs,Medium
2011,27.08.2020,Startup,Avavee,Hobard Manlow,Low
2002,15.07.2020,Corporate,Pixonyx,Charlotte Mangon,Medium
1990,18.03.2020,Startup,Fanoodle,Dill Havvock,Low
2002,28.07.2020,Startup,Photojam,Max Coushe,High
2000,17.09.2020,Startup,Yakidoo,Syd Coda,High
2000,25.04.2020,Mid size,Camido,Ailene Guard,Medium
1994,24.07.2020,Corporate,Wikibox,Mignonne Hawksley,High
1993,21.04.2020,Mid size,Skibox,Vevay Glassman,Low
2007,19.05.2020,Mid size,Zoonder,Spense Blaszczak,High
1992,28.05.2020,Mid size,Eayo,Odille Moralis,High
1999,27.06.2020,Startup,Oozz,Constancia Rajchert,High
2002,29.04.2020,Corporate,Skyvu,Moll Bluett,Medium
1993,24.03.2020,Corporate,Chatterbridge,Suzanna Petr,High
1962,23.08.2020,Mid size,Yakitri,Linet Skule,Medium
2003,18.11.2020,Corporate,Linkbuzz,Miof mela Ygou,High
1996,30.03.2020,Startup,Dabshots,Truman Falvey,Low
2002,13.04.2020,Mid size,Oyoba,Corly Barde,Low
2005,26.10.2020,Corporate,Agimba,Eloise Aberkirdo,High
2003,10.05.2020,Corporate,Zoomlounge,Valentia Luna,Low
1987,25.11.2020,Startup,Divanoodle,Pippa Jurick,High
2010,05.07.2020,Mid size,Zoomzone,Debee Ramard,Medium
2006,27.11.2020,Corporate,Plajo,Renell Uphill,High
1972,28.07.2020,Startup,Edgeify,Rhiamon Catlow,High
2003,16.05.2020,Startup,Thoughtmix,Allan Bourton,High
2006,09.09.2020,Mid size,Twiyo,Moss Preist,High
1992,13.03.2020,Mid size,Photobean,Phebe Shutt,Low
2000,30.04.2020,Startup,Kwinu,Morten Kubacek,Medium
2012,09.04.2020,Startup,Zoonoodle,Carling McLellan,Low
2012,28.07.2020,Startup,Zooxo,Neila Healks,High
2006,24.03.2020,Mid size,Eamia,Emylee Iveans,High
2000,19.10.2020,Startup,Topiczoom,Francklyn Sute,Low
2008,02.10.2020,Corporate,Skyba,Dorothy Pietrzyk,Low
2007,04.09.2020,Corporate,Vitz,Wilbert Holsall,High
2011,21.03.2020,Corporate,Pixoboo,Ralph Driuzzi,Medium
1995,20.11.2020,Corporate,Linkbridge,Augustine Bertolaccini,High
1993,29.09.2020,Startup,Gigazoom,Andonis Thomasson,Low
1999,31.07.2020,Mid size,Linklinks,Althea Stoving,Low
2011,01.08.2020,Corporate,Topicblab,Kahaleel Rakes,Medium
2004,11.06.2020,Corporate,Npath,Johna Petrowsky,Medium
2003,18.06.2020,Corporate,Bluezoom,Viki Yantsev,Low
2003,25.06.2020,Corporate,Roomm,Cecil Mattea,High
2009,02.04.2020,Corporate,Lazz,Jacinthe Matijevic,Low
1997,27.07.2020,Corporate,Blognation,Gustavo McInnes,Low
2012,20.07.2020,Corporate,Eimbee,Mollie Mulvany,Medium
1992,02.07.2020,Startup,Leenti,Jehanna Corbett,High
1992,06.03.2020,Corporate,Tambee,Burg Dewane,Low
2003,04.11.2020,Corporate,Flipstorm,Sasha Petigrew,Low
2004,17.05.2020,Corporate,Feedspan,Pauly Trippick,Medium
1994,01.06.2020,Startup,Mydo,Jessalin Habbert,High
1994,22.09.2020,Startup,Nlounge,Durand Bayfield,High
1998,12.05.2020,Corporate,Twitterbeat,Jone Eixenberger,Low
2010,27.06.2020,Mid size,Pixonyx,Jobyna Bratt,Medium
2006,19.05.2020,Mid size,Fadeo,Quentin Rust,Medium
1989,09.06.2020,Mid size,Dazzlesphere,Bobina Shallcross,High
2007,20.05.2020,Mid size,Photofeed,Cecil Melia,Medium
2002,14.09.2020,Mid size,Kazu,Morena Prewett,Low
1990,17.03.2020,Startup,Zooveo,Ivy Metzel,Low
1992,07.03.2020,Startup,Brainbox,Tisha Aldrich,Low
1994,13.09.2020,Startup,Kimia,Liesa Lorking,Low
2007,03.09.2020,Corporate,Katz,Ninon Dowse,High
2008,04.04.2020,Mid size,Meeveo,Bel Ditts,Medium
2007,19.07.2020,Startup,Dynabox,Sofia Feltham,Low
1996,10.07.2020,Startup,Ntag,Birk Barnhill,Medium
1995,12.10.2020,Corporate,Voonder,Billi Lycett,Low
1993,16.10.2020,Startup,Minyx,Celle Stanlike,High
1999,17.09.2020,Startup,Dabshots,Farris Borthe,High
2003,31.10.2020,Startup,Vinte,Katleen Betz,High
2003,10.09.2020,Mid size,Brainverse,Gerhardine Cohen,Medium
2006,11.08.2020,Mid size,Yakijo,Othilia Connick,Low
1987,25.07.2020,Mid size,Ozu,Hobie Parkyns,Low
2006,20.11.2020,Mid size,Izio,Chlo Darwen,High
1990,13.05.2020,Mid size,Tagcat,Gerald Pantone,Low
2007,17.11.2020,Startup,Livetube,Cybill Glasson,Low
1993,12.08.2020,Corporate,Skajo,Waylin Gaiford,Medium
2008,21.08.2020,Corporate,Kwilith,Nicoline Reneke,Medium
1997,05.11.2020,Corporate,Edgeblab,Shelley Beedon,High
1984,19.03.2020,Mid size,Yombu,Emili Emons,High
1996,05.09.2020,Mid size,BlogXS,Rafi Matterdace,Low
2003,31.10.2020,Startup,Brainverse,Wolfie Caldron,Medium
1998,18.03.2020,Corporate,Photospace,Fredia Burgoine,Low
2012,27.05.2020,Startup,Myworks,Zoe Sitlinton,Low
2000,06.11.2020,Mid size,Avamba,Jemmy Olufsen,Medium
1999,19.04.2020,Startup,Voomm,Craggie Dingate,High
1992,21.11.2020,Startup,Brightbean,Latisha Danser,High
2012,09.10.2020,Corporate,Thoughtworks,Giffie Zanini,Low
2008,13.06.2020,Mid size,Tazz,Lottie Leveret,Medium
2005,02.06.2020,Mid size,Zoovu,Bartlett Mobbs,High
2012,28.04.2020,Startup,Edgeblab,Doralin Blakeslee,Low
2012,08.03.2020,Startup,Eazzy,Valry Doy,High
2004,05.04.2020,Corporate,Oyoyo,Magdalena Paulson,Medium
2008,11.03.2020,Corporate,Jaxspan,Denny Sollas,Medium
2000,26.04.2020,Startup,Twimm,Dorolisa Parrin,High
1995,23.09.2020,Startup,Twitterworks,Carroll Pott,High
1990,05.07.2020,Mid size,Dynabox,Waldo Alker,High
1992,15.03.2020,Mid size,Einti,Shelley Koenen,High
1998,21.06.2020,Corporate,Oyoloo,Dav Bartaletti,High
2008,20.09.2020,Corporate,Kazu,Sol Ismirnioglou,Low
1989,14.08.2020,Mid size,Gabtune,Moore Toppin,Low
1997,13.06.2020,Mid size,Zoonder,Nelson Azema,High
2000,04.11.2020,Corporate,Viva,Franz Gunn,Medium
2007,16.11.2020,Startup,Edgeblab,Gunther McNair,Low
2010,26.10.2020,Startup,Tagcat,Sherlocke Luciano,Medium
1994,29.08.2020,Corporate,Linklinks,Gerty McCusker,Medium
2008,09.11.2020,Mid size,Feedfire,Adriana Carvill,Low
1995,18.06.2020,Mid size,Flipbug,Honey Stuart,Low
1998,16.04.2020,Startup,Quinu,Jenny Pardal,Medium
1993,28.10.2020,Startup,Trunyx,Gerianna Bockett,High
2004,22.08.2020,Mid size,Brainlounge,Haydon Runnalls,Medium
2008,23.09.2020,Startup,Edgewire,Vita Brinson,Medium
1995,31.07.2020,Corporate,Jaxbean,Terrill Ashingden,High
2009,24.10.2020,Mid size,Fadeo,Dew Klimek,High
1984,01.08.2020,Mid size,Skiba,Lisetta Mant,Low
2009,06.10.2020,Startup,Gigabox,Candra Lusher,High
2001,16.06.2020,Startup,Skilith,Janeen Haythornthwaite,Medium
1993,29.09.2020,Mid size,Lazz,Winnie Menezes,Low
1998,25.09.2020,Corporate,Jaloo,Ringo Denmead,High
2002,20.11.2020,Corporate,Wordify,Doti Berk,High
1997,13.06.2020,Mid size,Skalith,Robena Fulle,Low
1996,03.11.2020,Corporate,Edgewire,Carlene Van Saltsberg,High
2005,28.11.2020,Mid size,Photospace,Phillip Stanning,Low
1983,14.09.2020,Corporate,Quatz,Aldridge Loeber,Medium
2000,13.04.2020,Startup,Blogtag,Vivian Brealey,Medium
1992,06.09.2020,Corporate,Feedfire,Marjie Littlejohns,Medium
2011,12.11.2020,Startup,Twiyo,Travus Northcliffe,Medium
1990,07.05.2020,Corporate,Eire,Lon Myford,Medium
1987,14.07.2020,Corporate,LiveZ,Bailie Heigho,Low
1993,06.11.2020,Corporate,Youtags,Malcolm Thayre,High
2009,05.09.2020,Corporate,Aibox,Andree Frail,High
1988,19.08.2020,Startup,Npath,Innis Avent,Low
1999,17.08.2020,Corporate,Zoombeat,Modesty MacMakin,High
2007,16.06.2020,Mid size,Jetpulse,Kane Borgne,High
1999,30.08.2020,Startup,Pixonyx,Felita Heephy,Low
2000,12.11.2020,Mid size,Photojam,Aldrich Stopforth,Low
1996,13.09.2020,Corporate,Zoonoodle,Rikki Cicchelli,Medium
1993,14.05.2020,Startup,Izio,Moritz Janicijevic,Medium
2012,16.04.2020,Corporate,Tanoodle,Katey Izatt,High
2008,10.05.2020,Corporate,Twinder,Hyacintha Winward,Low
2006,19.06.2020,Corporate,Yadel,Maryellen Feria,Low
2008,22.06.2020,Corporate,Wikizz,Stanton Tatersale,High
1985,14.03.2020,Startup,Yambee,Tadeas Cockings,Medium
1996,02.09.2020,Startup,Roodel,Berton Andrioni,Medium
2012,03.10.2020,Startup,Oozz,Emlynn Randal,Low
1992,22.08.2020,Corporate,Mynte,Othilia Pinsent,Medium
2004,11.11.2020,Corporate,Zoomzone,Ashly Penman,High
2011,18.07.2020,Mid size,Eidel,Aimil McQuade,Medium
1985,29.08.2020,Corporate,Linktype,Evelyn Stealy,Low
1987,04.07.2020,Startup,Photobug,Neel Kasher,Low
2004,27.08.2020,Corporate,Flipopia,Krishna Goulder,Medium
1992,27.09.2020,Corporate,Skidoo,Raimund Tonbridge,High
2005,30.05.2020,Startup,Skyndu,Janek Hunnam,Medium
2004,23.07.2020,Corporate,Skynoodle,Abey Fice,High
1991,02.07.2020,Mid size,Geba,Keary Duffit,Medium
2008,07.03.2020,Startup,Cogilith,Peterus Full,Low
1979,24.09.2020,Startup,Edgeclub,Farly Hollow,Low
1998,08.09.2020,Corporate,Edgetag,Fedora Aspy,Low
1996,18.08.2020,Startup,Devshare,Annecorinne Pruce,Medium
2001,03.05.2020,Startup,Centizu,Jonah Morford,Low
2009,29.07.2020,Corporate,Rhynoodle,Arlie Punchard,High
2004,12.04.2020,Startup,Yoveo,Rosie Hattiff,Medium
2005,25.08.2020,Corporate,Edgeclub,Ardelle Bracegirdle,Medium
2012,21.11.2020,Mid size,Eidel,Marketa Bang,High
2006,29.07.2020,Startup,Thoughtblab,Chiquita Blackmore,Medium
2012,20.05.2020,Corporate,Topiclounge,Jemmie Olivier,High
2007,16.09.2020,Startup,Ntag,Adrienne Evenett,High
1993,14.07.2020,Startup,Reallinks,Sky Cayford,Low
2009,05.07.2020,Corporate,Browsezoom,Georgeanne Mallall,Low
2009,25.11.2020,Startup,Kwimbee,Arlin Cary,High
1998,31.08.2020,Mid size,Podcat,Justinian Clowsley,High
1993,05.05.2020,Startup,Mita,Lorraine Kilcullen,High
2006,01.05.2020,Mid size,Skipfire,Meggy Kibblewhite,Low
2011,13.06.2020,Mid size,Fadeo,Barbee Skeggs,Low
1994,24.04.2020,Corporate,Riffpedia,Charissa Lippi,High
2013,15.04.2020,Mid size,Zoomdog,Griffie Lancetter,High
2005,14.05.2020,Startup,Youspan,Sybyl Bickersteth,Low
2012,19.11.2020,Corporate,Tagopia,Barnabe Rosen,Medium
2009,15.05.2020,Corporate,Izio,Stinky Newburn,Low
1994,16.09.2020,Corporate,Fivechat,Kinny Balazot,Medium
2009,07.08.2020,Startup,Linkbridge,Rosabel Dreghorn,Medium
1989,11.08.2020,Startup,Buzzdog,Ave Sparks,High
1985,14.04.2020,Mid size,Jamia,Merwyn Grewar,High
2002,16.09.2020,Startup,Tagfeed,Kym Yushachkov,High
2012,29.06.2020,Corporate,Buzzbean,Sonia Bythell,Low
2012,22.11.2020,Mid size,Jabbercube,Ernest Hagstone,Low
1987,31.03.2020,Startup,Photospace,Alison Hacaud,Medium
2006,11.04.2020,Corporate,Twinte,Merrily Shevell,Low
1966,18.05.2020,Corporate,Photolist,Caty Naseby,Medium
1995,10.06.2020,Mid size,Wikivu,Packston Levison,High
2010,01.11.2020,Corporate,Dynazzy,Laura Guidini,Low
2007,16.05.2020,Mid size,BlogXS,Julee Hudson,Low
1997,28.10.2020,Startup,Livefish,Malory Baseggio,High
2012,20.07.2020,Mid size,Zoomdog,Lazar Douglas,Low
2004,25.09.2020,Startup,Skinder,Briney Goodlife,Low
2004,01.07.2020,Mid size,Meevee,Kalli Gash,High
1994,10.07.2020,Startup,Oyoloo,Muffin Geikie,High
2011,16.11.2020,Mid size,Feedmix,Liam Ind,High
1985,13.08.2020,Startup,Skynoodle,Westbrooke McComiskie,Medium
2002,24.03.2020,Mid size,Feedmix,Thedric Cahillane,Low
2009,12.11.2020,Corporate,Jabbertype,L;urette Maingot,Medium
2009,07.07.2020,Mid size,Flashset,Estevan Sedgefield,Medium
2004,22.03.2020,Startup,Skilith,Tobye Mac,Low
2001,21.07.2020,Mid size,Photojam,Ingamar Petley,High
2007,30.11.2020,Mid size,Wordware,Elenore Dreini,Low
1993,03.08.2020,Startup,Vidoo,Haley Burgill,High
1994,27.08.2020,Startup,Zooxo,Bonni Boothe,High
2012,07.06.2020,Corporate,Yata,Hillier MacGow,Medium
2011,22.08.2020,Corporate,Browsetype,Wynne Corking,Low
2003,21.09.2020,Mid size,Topicshots,Bertha Swadden,Low
1996,17.08.2020,Corporate,Topiclounge,Diann Penkethman,Low
1993,20.06.2020,Corporate,Thoughtstorm,Kim Hedon,High
2012,14.05.2020,Startup,Centidel,Bernhard Orneles,Low
2008,13.09.2020,Corporate,Oyoba,Berti Glynne,Medium
2006,19.09.2020,Corporate,Camimbo,Mordy Artois,Low
1993,28.09.2020,Mid size,Oyoloo,Moe Bradberry,Medium
2009,06.10.2020,Corporate,Dynava,Kacie Clempton,High
1994,18.04.2020,Corporate,Buzzbean,Izabel Curling,Medium
2003,09.08.2020,Corporate,Yacero,Beauregard Kroon,Medium
1995,15.07.2020,Startup,Yakijo,Rosalinde Shadbolt,Medium
2004,15.08.2020,Mid size,Divavu,Karney Petford,Low
2009,07.09.2020,Startup,Realmix,Robina Mattam,Medium
2001,23.10.2020,Mid size,Jaxbean,Betti Burren,High
2003,30.08.2020,Corporate,Feednation,Correy Micah,Low
1993,03.08.2020,Mid size,Leexo,Vilhelmina Lefley,Low
2000,24.04.2020,Mid size,Twinder,Annamaria Filippello,Low
1996,29.07.2020,Corporate,Yamia,Tine Sture,Low
1984,13.05.2020,Corporate,Cogilith,Lemmy Danielis,High
1996,12.11.2020,Mid size,Edgeclub,Basilius Eliesco,Medium
2012,07.07.2020,Startup,Centizu,Alfredo Panks,Low
1993,08.11.2020,Corporate,Skipstorm,Marina Tarrier,Low
2004,01.07.2020,Mid size,Yata,Bronny Toe,Low
1998,28.07.2020,Startup,Jetpulse,Rayshell Matthews,High
1995,18.09.2020,Mid size,Yodel,Fernanda De Micoli,Medium
2010,30.07.2020,Mid size,Linkbuzz,Ximenez Guillain,Medium
1995,25.07.2020,Startup,Brightbean,Alexander Sleightholm,High
2008,05.04.2020,Startup,Jetpulse,Eachelle Lembrick,Low
2008,10.04.2020,Mid size,Riffpath,Bartlet Moogan,Medium
1992,31.03.2020,Startup,LiveZ,Mile Paddefield,Medium
1993,29.04.2020,Corporate,Livetube,Park Frentz,Medium
2004,28.11.2020,Corporate,Oyoyo,Brandon Emberton,High
1996,19.03.2020,Startup,Topicshots,Natty Batch,Medium
2012,17.06.2020,Corporate,Feedspan,Bessie Alekseicik,Medium
1995,24.05.2020,Corporate,Brainverse,Udale O'Dea,Low
1984,03.10.2020,Corporate,Snaptags,Gregg Callam,Low
2003,01.06.2020,Corporate,Pixoboo,Angelo Mattson,Low
1986,04.07.2020,Corporate,Lazzy,Sibyl Khomin,Low
2004,18.05.2020,Startup,Mymm,Ainslie Garmey,Low
1998,08.06.2020,Corporate,Brainsphere,Thorndike Boerder,Medium
2007,26.09.2020,Mid size,Feednation,Tresa O'Shirine,Medium
1995,13.11.2020,Mid size,Skidoo,Nealy Ronaldson,Medium
1991,07.10.2020,Startup,Voonte,Krystalle Dulin,High
2000,12.11.2020,Mid size,Lajo,Merilyn Matyatin,Medium
1995,27.06.2020,Startup,Edgeblab,Joceline MacKean,High
1996,23.03.2020,Startup,Thoughtstorm,Marshal Tuckwell,Low
2006,01.11.2020,Mid size,Jayo,Lucky Bengle,High
2002,13.07.2020,Mid size,Kazu,Kissie Thing,High
1984,16.11.2020,Mid size,Thoughtmix,Saidee Daventry,Low
1989,23.08.2020,Mid size,Bubbletube,Drake Kohler,Low
2007,14.10.2020,Startup,Ntag,Analiese Palluschek,High
2004,09.05.2020,Corporate,Zoomlounge,Odessa Cratchley,Low
1992,19.03.2020,Corporate,Linklinks,Raeann Freear,Low
2003,08.04.2020,Mid size,Tagopia,Roderic Toping,Medium
2005,01.09.2020,Mid size,Dabjam,Iona Olek,High
1995,24.11.2020,Mid size,Yambee,Andrea Passion,Low
2002,11.04.2020,Corporate,Oloo,Jordain Windibank,Medium
1997,26.10.2020,Startup,Agivu,Lula McIlhagga,Medium
1993,09.08.2020,Corporate,Voonte,Morty Spawton,High
1991,26.10.2020,Corporate,Thoughtstorm,Kathleen Carmichael,Medium
1995,23.10.2020,Startup,Edgeify,Tracie Rudsdale,Low
1986,29.03.2020,Startup,Riffwire,Demetri Batch,Medium
1992,26.10.2020,Corporate,Thoughtbeat,De Volcker,High
